Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
47.4559999998,5932,-1.2984154498,-3.4941995254,-0.2344378809,,,
47.4599999997,5932,-1.0021213864,-2.9146091868,-0.5764876776,,,
47.4639999999,5933,-0.4828343339,-2.0985417964,-0.4922992056,,,
47.4679999999,5933,-0.3855277506,-1.6772579032,-0.5782574504,,,
47.4719999998,5934,-0.4142671013,-1.2864318336,-0.7955716843,,,
47.4759999998,5934,0.1493838977,-0.0794784618,-0.5833352129,,,
47.4800000000,5935,0.9721034147,1.7391221847,-0.0875678165,,,
47.4839999999,5935,1.0450894114,3.1371978397,-0.0954122344,,,
47.4879999999,5936,0.3773654613,3.8658441481,-0.6574683106,,,
47.4919999999,5936,-0.0237518419,4.5590677042,-0.9139010875,,,
47.4959999998,5937,0.1734332680,5.2347467749,-0.4815614246,,,
47.4999999998,5937,0.3135765894,5.0344138556,0.0684828044,,,
47.5040000000,5938,0.1929512882,3.6777803085,0.3609392143,,,
47.5079999999,5938,0.3986343957,1.9055617724,0.7187986241,,,
47.5119999999,5939,0.8766814165,0.0938626644,1.0911567913,,,
47.5159999998,5939,0.5422101217,-2.3104998336,0.6072818138,,,
47.5199999998,5940,-1.0903296341,-5.4060535501,-1.1214225406,,,
47.5239999997,5940,-3.0813812533,-8.0784536613,-3.1820542090,,,
47.5279999999,5941,-4.4735239234,-9.3296286039,-4.5275039382,,,
47.5319999999,5941,-5.3713159787,-9.3504873486,-5.1305199966,,,
47.5359999998,5942,-5.9266047213,-8.5647767518,-5.2734997512,,,
47.5399999998,5942,-5.4082076563,-6.6269574576,-4.5523052866,,,
47.5440000000,5943,-3.2868167423,-3.3190815555,-2.5620599343,,,
47.5480000000,5943,-0.3823237441,0.3961048806,0.0455115411,,,
47.5519999999,5944,2.0964844332,3.2925540063,2.2078015122,,,
47.5559999999,5944,3.9528517471,5.2518854738,3.7198591803,,,
47.5599999998,5945,5.4770101419,6.7679702144,4.9332794180,,,
47.5639999998,5945,6.2991144828,7.7436529332,5.6576727463,,,
47.5680000000,5946,6.0020562515,7.9108645761,5.4600556559,,,
47.5719999999,5946,5.3342210699,7.9173775077,4.7838747934,,,
47.5759999999,5947,5.4408663580,8.6421593592,4.5899530237,,,
47.5799999998,5947,6.1052262575,9.5894225947,4.8907678261,,,
47.5839999998,5948,5.9851238069,9.2008131197,4.6901077404,,,
47.5879999998,5948,4.4543128192,6.7543721908,3.4397029919,,,
47.5919999999,5949,2.0543975849,2.8972536924,1.5782652428,,,
47.5959999999,5949,-0.7202792794,-1.5723498735,-0.4536400214,,,
47.5999999999,5950,-3.7603612526,-6.1705233636,-2.6496215531,,,
47.6039999998,5950,-6.3607630994,-9.8866479857,-4.5951820003,,,
47.6079999998,5951,-7.2957224487,-11.3194823834,-5.3077456455,,,
47.6119999997,5951,-6.3849629341,-10.2526106133,-4.5224727349,,,
47.6159999999,5952,-4.8779479487,-8.0540673623,-3.2562491192,,,
47.6199999999,5952,-3.7586087270,-5.9669447819,-2.4699283849,,,
47.6239999998,5953,-2.7425942118,-3.9852875280,-1.9878416249,,,
47.6279999998,5953,-1.5293633640,-1.9508268813,-1.4028727508,,,
47.6320000000,5954,-0.8338826658,-0.5680912358,-1.1510524095,,,
47.6359999999,5954,-1.2455775087,-0.3855686408,-1.7505120981,,,
47.6399999999,5955,-2.0659598561,-0.7123964769,-2.6850510118,,,
47.6439999999,5955,-2.3197697298,-0.5902214313,-3.0772816514,,,
47.6479999998,5956,-2.1015635277,-0.1081411230,-2.9477639105,,,
47.6519999998,5956,-1.8660242195,0.2548353504,-2.7790017979,,,
47.6560000000,5957,-1.1600062711,0.8738835459,-2.2942979343,,,
47.6599999999,5957,0.7001830759,2.3832913362,-0.8038096209,,,
47.6639999999,5958,3.2360690357,4.3487770564,1.5189404166,,,
47.6679999998,5958,5.3397845689,5.7484783197,3.8012449858,,,
47.6719999998,5959,6.7842452000,6.4335881556,5.6983265345,,,
47.6759999997,5959,7.9418021364,6.8951392073,7.3401364831,,,
47.6799999999,5960,8.3736244076,6.8667505925,8.2096999717,,,
47.6839999999,5960,7.1662779828,5.5421977611,7.3645323707,,,
47.6879999998,5961,4.5956091020,3.1369459564,4.9373698760,,,
47.6919999998,5961,2.0276661393,0.8561970187,2.2485228450,,,
47.6960000000,5962,0.0459320020,-0.8283584001,0.1476126710,,,
47.7000000000,5962,-1.9849791569,-2.5656077210,-1.6788719122,,,
47.7039999999,5963,-4.3011194468,-4.5742225062,-3.4665204619,,,
47.7079999999,5963,-6.0949776566,-6.0530316069,-4.6426982821,,,
47.7119999998,5964,-6.9092554700,-6.5733691139,-4.8924097645,,,
47.7159999998,5964,-7.3319539616,-6.7879514222,-4.8811243148,,,
47.7200000000,5965,-7.6896256732,-7.1266720052,-5.1672733638,,,
47.7239999999,5965,-7.2422498413,-6.8758824724,-5.2110600147,,,
47.7279999999,5966,-5.4315306513,-5.2886055174,-4.2414884323,,,
47.7319999998,5966,-2.9093475323,-2.6948427343,-2.4399257075,,,
47.7359999998,5967,-0.5130104569,0.2488014356,-0.4693999733,,,
47.7399999998,5967,1.7945419477,3.4622746674,1.4895694870,,,
47.7439999999,5968,4.0392083493,6.6473737117,3.3125013800,,,
47.7479999999,5968,5.2875095195,8.4974292164,4.2163458829,,,
47.7519999999,5969,4.7635814847,7.9162117854,3.6009323181,,,
